track1	track2	similarity
1	1	1.0000
1	1	1.0000
1	2	0.1392
2	1	0.1392
1	3	0.1183
3	1	0.1183
1	4	0.0860
4	1	0.0860
1	5	0.2626
5	1	0.2626
1	6	0.1882
6	1	0.1882
1	7	0.1850
7	1	0.1850
2	2	1.0000
2	2	1.0000
2	3	0.0471
3	2	0.0471
2	4	0.0194
4	2	0.0194
2	5	0.0480
5	2	0.0480
2	6	0.3645
6	2	0.3645
2	7	0.0550
7	2	0.0550
3	3	1.0000
3	3	1.0000
3	4	0.1663
4	3	0.1663
3	5	0.1152
5	3	0.1152
3	6	0.1296
6	3	0.1296
3	7	0.1575
7	3	0.1575
4	4	1.0000
4	4	1.0000
4	5	0.0861
5	4	0.0861
4	6	0.0935
6	4	0.0935
4	7	0.0949
7	4	0.0949
5	5	1.0000
5	5	1.0000
5	6	0.2660
6	5	0.2660
5	7	0.1651
7	5	0.1651
6	6	1.0000
6	6	1.0000
6	7	0.2166
7	6	0.2166
7	7	1.0000
7	7	1.0000
